_id,BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LAUNDRY_ROOMS,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WATER_PEN_EXT_BLDG_ELEMENTS,YEAR_BUILT,YEAR_REGISTERED
27,N/A,3,11,N/A,3,3,03/07/2018,4,3,3,3,N/A,5,3,3,4,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4329042,66,3,22  ROSSEAU RD ,3,3,06,4,1949,2018
28,2,12,101,2,3,3,11/05/2019,3,3,4,3,N/A,4,5,2,3,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4250529,64,5,2255  WESTON RD ,3,N/A,05,3,1965,2017
29,N/A,3,36,N/A,4,4,03/01/2019,3,4,4,4,N/A,5,3,4,4,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4329455,75,4,485  DUPLEX AVE ,3,4,08,3,1900,2018
30,N/A,6,171,3,5,4,11/21/2019,4,4,4,3,3,5,4,4,4,4,18,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4255532,79,4,1401  DUPONT ST ,4,N/A,09,4,2006,2017
31,N/A,4,13,N/A,4,4,01/18/2019,4,4,4,4,N/A,5,4,4,3,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4281930,78,5,8  BEXHILL CRT ,3,4,02,2,1952,2017
32,4,3,24,N/A,4,4,01/09/2019,4,4,4,4,N/A,5,4,4,4,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4269230,80,4,508  DANFORTH RD ,4,N/A,20,4,1959,2017
33,N/A,4,68,5,4,4,10/28/2019,5,5,5,4,4,5,2,4,4,4,18,4,3,SOCIAL HOUSING,N/A,4269261,NA,5,68  BERGAMOT AVE ,4,N/A,01,5,2007,2018
34,5,7,97,5,4,4,02/13/2019,4,4,4,4,N/A,5,5,4,3,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4244923,84,4,60  ESTHER LORRIE DR ,5,4,01,4,1963,2017
35,5,33,293,5,5,5,12/03/2019,4,5,5,5,5,5,5,4,5,N/A,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4244973,95,5,925  BAY ST ,5,4,13,4,2005,2017
36,N/A,3,11,N/A,4,5,10/30/2019,2,4,5,4,N/A,5,4,4,5,4,15,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4226533,83,4,60  FIFTEENTH ST ,4,N/A,03,3,1958,2017
37,N/A,3,11,N/A,3,3,11/18/2019,5,3,3,3,N/A,5,3,3,3,2,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4327367,69,4,12  ROSSEAU RD ,3,3,06,5,1949,2018
38,3,17,234,3,3,2,11/19/2019,3,3,2,4,2,4,4,2,3,2,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4243431,57,3,2801  JANE ST ,2,N/A,07,3,1968,2017
39,NA,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4288787,67,NA,2405  QUEEN ST E,NA,NA,19,NA,1920,2017
40,N/A,3,21,N/A,4,4,03/08/2019,4,4,4,N/A,N/A,5,3,3,4,4,13,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4288792,77,4,2401  QUEEN ST E,3,N/A,19,4,1920,2017
41,4,21,117,4,4,3,03/13/2019,4,4,4,5,4,4,4,5,4,4,20,4,5,PRIVATE,Evaluation needs to be conducted in 2 years,4168793,80,4,25  CANYON AVE ,3,3,06,4,1962,2017
42,3,4,22,N/A,4,3,10/30/2019,3,4,4,3,N/A,5,2,4,3,4,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4168798,70,4,170  BERRY RD ,3,N/A,03,3,1956,2017
43,N/A,6,71,3,3,3,12/03/2019,3,3,3,2,2,3,3,3,3,2,17,N/A,3,TCHC,Evaluation needs to be conducted in 1 year,4167684,59,4,274  SACKVILLE ST ,3,N/A,13,4,1948,2017
44,NA,5,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4167686,78,NA,2356  EGLINTON AVE E,NA,NA,21,NA,1960,2017
45,N/A,6,72,3,3,3,12/03/2019,3,3,3,2,2,4,3,2,3,2,17,N/A,3,TCHC,Evaluation needs to be conducted in 1 year,4167694,58,3,325  GERRARD ST E,3,N/A,13,4,1980,2017
46,NA,5,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TCHC,Evaluation needs to be conducted in 2 years,4153714,68,NA,520  KINGSTON RD ,NA,NA,19,NA,1992,2017
47,N/A,9,200,4,3,4,12/18/2018,4,3,4,3,3,3,4,3,3,4,18,3,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153138,69,5,24  SHAW ST ,2,N/A,10,3,1989,2017
48,3,3,18,N/A,4,3,11/25/2019,3,3,3,3,N/A,4,3,3,4,2,17,3,3,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4153144,64,3,138  CLAREMONT ST ,3,N/A,10,4,1994,2017
49,N/A,4,48,N/A,4,4,02/12/2019,4,4,4,4,N/A,5,4,4,4,4,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153589,80,4,433  SHERBOURNE ST ,3,N/A,13,4,1934,2017
50,4,7,69,4,4,4,02/13/2019,4,4,4,4,4,5,4,4,4,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4153596,81,4,222  WELLESLEY ST E,4,4,13,4,1963,2017
51,NA,4,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4153605,72,NA,9  TENNIS CRES ,NA,NA,14,NA,1931,2017
52,3,3,10,N/A,4,4,01/10/2019,3,3,3,4,N/A,5,5,4,4,3,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153609,76,4,648  BROADVIEW AVE ,5,N/A,14,3,1910,2017
53,N/A,3,24,N/A,3,3,01/04/2019,3,2,4,3,N/A,3,2,3,3,2,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153613,59,4,812  BROADVIEW AVE ,3,N/A,14,3,1950,2017
54,3,3,23,N/A,5,4,01/07/2019,3,4,3,4,N/A,5,4,4,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153619,75,4,846-850  BROADVIEW AVE ,4,N/A,14,3,1940,2017
55,4,3,16,4,4,3,01/03/2018,4,3,3,3,N/A,3,3,3,4,4,18,4,3,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153624,68,3,802  EASTERN AVE ,3,N/A,14,3,1995,2019
56,4,4,50,N/A,4,4,12/04/2019,2,4,4,4,N/A,5,4,4,4,5,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154110,76,4,12  BATER AVE ,4,N/A,14,2,1927,2018
57,4,11,86,4,3,4,12/14/2018,3,3,3,3,N/A,5,4,3,5,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154114,72,4,91  COSBURN AVE ,4,N/A,14,3,1986,2018
58,3,12,212,4,5,5,12/17/2018,4,4,4,4,4,5,5,3,4,4,20,4,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154135,81,5,72  GAMBLE AVE ,3,4,14,4,1964,2017
59,3,15,174,4,4,4,02/06/2019,5,4,4,4,4,5,4,4,3,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154644,80,4,11  GOLDFINCH CRT ,4,4,06,4,1964,2017
60,3,6,179,4,4,4,01/30/2019,3,4,3,3,3,5,4,4,4,3,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154645,73,4,521-523  FINCH AVE W,4,3,06,3,1960,2017
61,N/A,3,20,N/A,3,4,03/01/2019,3,3,3,3,N/A,5,4,3,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155009,70,4,22  ROBINA AVE ,3,4,09,4,1950,2017
62,N/A,3,29,N/A,5,3,03/07/2019,3,3,3,3,N/A,5,2,3,3,2,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4155014,63,3,345  WESTMOUNT AVE ,3,N/A,09,3,1952,2017
63,N/A,4,35,N/A,4,4,11/27/2019,4,4,4,5,N/A,5,4,4,3,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155021,83,5,300  WINNETT AVE ,4,N/A,12,4,1971,2017
64,N/A,3,37,N/A,4,4,02/19/2019,4,3,4,3,N/A,5,5,3,4,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155039,75,5,1675  EGLINTON AVE W,3,3,12,3,1960,2017
65,4,4,34,N/A,4,4,02/19/2019,3,3,4,4,N/A,5,4,4,5,5,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155041,81,5,1490  EGLINTON AVE W,4,3,08,4,1955,2017
66,3,7,118,4,3,4,03/15/2019,4,4,4,4,3,5,4,3,4,3,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155551,74,4,240  LAKE PROMENADE  ,3,3,03,4,1963,2017
67,N/A,3,34,N/A,3,3,10/30/2019,4,3,3,4,N/A,5,4,3,3,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155556,72,4,25  VILLA RD ,3,N/A,03,4,1960,2017
68,3,12,115,5,3,5,11/19/2019,3,5,3,4,5,3,5,3,5,3,18,N/A,5,TCHC,Evaluation needs to be conducted in 3 years,4155561,81,5,1  FIRVALLEY CRT ,5,N/A,20,3,1962,2017
69,3,24,278,2,3,3,11/19/2019,3,2,4,3,2,3,3,2,3,5,19,3,3,TCHC,Evaluation needs to be conducted in 1 year,4155562,59,4,40  TEESDALE PL ,2,N/A,20,3,1971,2017
70,4,6,52,4,4,4,10/31/2019,3,5,4,4,4,5,4,4,4,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4156104,82,5,75  WINDERMERE AVE ,4,N/A,04,4,1962,2017
71,3,7,82,4,3,4,01/18/2019,4,4,5,3,N/A,5,3,3,4,3,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152731,73,5,4  TREEWOOD ST ,3,3,21,4,1961,2017
72,5,5,65,4,4,4,11/25/2019,5,4,4,4,4,4,4,4,3,3,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152734,80,4,1175  ELLESMERE RD ,4,N/A,21,4,1967,2017
73,4,4,32,5,4,4,01/08/2019,4,4,4,3,3,5,4,4,3,3,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152735,76,4,1181  ELLESMERE RD ,4,3,21,3,1976,2017
74,4,15,181,3,3,3,01/30/2019,3,3,3,3,2,5,3,2,3,3,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4152741,59,3,960  MARKHAM RD ,2,N/A,24,2,1965,2017
75,4,15,173,4,4,4,11/30/2017,3,3,4,2,3,4,2,2,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152753,67,4,1340  DANFORTH RD ,3,N/A,21,3,1962,2017
76,4,15,225,4,4,5,11/30/2017,3,4,4,2,3,4,3,3,4,3,19,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152754,72,4,1350  DANFORTH RD ,4,N/A,21,3,1965,2017
77,4,15,172,4,4,5,11/30/2017,3,3,4,2,3,4,2,2,4,2,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152755,67,4,1360  DANFORTH RD ,3,N/A,21,3,1963,2017
78,4,7,114,4,5,5,11/26/2019,4,5,4,5,4,5,4,5,4,4,19,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4152761,89,5,1275  DANFORTH RD ,5,4,21,4,1958,2017
79,4,15,207,4,4,5,11/26/2019,3,4,4,3,4,5,5,3,3,4,20,5,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152763,79,5,370  MCCOWAN RD ,3,4,21,3,1965,2017
80,N/A,3,31,N/A,3,2,03/04/2019,3,4,5,4,N/A,5,2,2,2,2,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 1 year,4153153,61,4,34  HEYDON PARK RD ,2,N/A,09,3,1925,2018
81,4,3,11,N/A,4,4,03/04/2019,3,4,4,4,N/A,4,3,5,4,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153154,80,4,19-21  RUSHOLME RD ,5,5,09,3,1940,2017
82,4,15,113,4,3,4,11/21/2019,4,3,4,3,4,5,3,4,3,4,19,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153160,72,5,919  DUFFERIN ST ,3,3,09,3,1971,2017
83,N/A,3,26,N/A,3,3,02/28/2019,3,3,3,4,N/A,3,3,3,2,N/A,14,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153165,60,3,1019  BLOOR ST W,3,N/A,09,3,1928,2017
84,4,4,32,N/A,2,3,12/07/2018,2,3,2,3,N/A,5,4,4,3,4,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153171,68,5,456  PALMERSTON BLVD ,4,N/A,11,3,1904,2017
85,N/A,4,35,4,4,4,03/19/2019,2,3,3,3,N/A,5,4,4,3,4,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153186,73,5,50  WALMER RD ,3,4,11,3,1958,2017
86,N/A,4,25,N/A,4,3,12/04/2019,3,4,4,4,4,4,4,4,4,4,16,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153637,78,5,1480  QUEEN ST E,3,N/A,14,4,1990,2017
87,3,20,380,4,4,4,12/20/2018,4,3,3,3,3,5,4,3,3,4,20,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154151,72,5,43  THORNCLIFFE PARK DR ,2,3,15,5,1965,2017
88,3,6,71,4,3,5,10/31/2019,4,5,4,5,N/A,5,5,5,5,5,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154162,90,5,54  THORNCLIFFE PARK DR ,4,5,15,4,1960,2017
89,4,6,57,4,4,4,10/31/2019,4,4,3,4,4,5,4,3,5,4,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154164,82,5,50  THORNCLIFFE PARK DR ,4,N/A,15,5,1960,2017
90,4,6,62,4,4,4,10/31/2019,3,4,5,5,5,5,5,4,5,4,19,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154169,89,5,26  THORNCLIFFE PARK DR ,4,5,15,5,1960,2017
91,NA,7,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153712,77,NA,550  KINGSTON RD ,NA,NA,19,NA,1985,2017
92,3,6,60,4,4,3,10/30/2019,3,4,4,3,3,5,4,4,3,3,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154172,72,4,2  GRANDSTAND PL ,4,N/A,15,4,1960,2017
93,N/A,4,46,N/A,4,4,11/19/2019,4,4,3,2,4,5,3,3,4,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154669,72,3,199  WILSON AVE ,3,4,08,4,1955,2017
94,4,8,305,4,4,4,11/19/2019,4,4,4,4,4,5,4,4,4,4,20,4,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154681,83,5,4000  YONGE ST ,4,5,08,4,1964,2017
95,3,14,167,3,4,5,11/07/2019,3,4,4,4,4,5,4,4,5,4,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154697,81,5,4415  BATHURST ST ,5,3,06,4,1962,2017
96,5,21,237,4,4,4,11/07/2019,4,4,4,4,4,5,4,4,4,4,20,3,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154699,82,5,35  CANYON AVE ,4,4,06,4,1959,2017
97,N/A,4,44,N/A,4,4,01/21/2019,4,3,4,3,N/A,5,3,4,4,3,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155055,74,5,1040  CASTLEFIELD AVE ,4,2,08,4,1959,2017
98,N/A,3,29,N/A,4,4,03/04/2019,3,4,4,4,N/A,5,4,4,5,4,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155077,81,4,524  HARVIE AVE ,4,N/A,09,4,1960,2017
99,4,7,57,3,3,3,01/05/2018,4,3,4,4,2,5,3,3,3,3,18,N/A,3,TCHC,Evaluation needs to be conducted in 2 years,4155588,66,3,85  SPENCER AVE ,3,N/A,04,3,1974,2017
100,4,25,460,4,4,5,01/10/2018,4,4,4,4,3,5,4,3,4,3,19,4,3,TCHC,Evaluation needs to be conducted in 2 years,4155594,78,4,250  DAVENPORT RD ,4,N/A,11,4,1968,2017
101,N/A,4,105,4,4,3,01/09/2018,4,4,3,3,3,4,3,3,4,4,17,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155598,71,3,6  HENRY ST ,3,N/A,11,4,1978,2017
102,NA,6,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TCHC,Evaluation needs to be conducted in 1 year,4155604,63,NA,320  SEATON ST ,NA,NA,13,NA,1961,2017
103,2,24,327,3,2,2,12/03/2019,2,2,2,3,2,1,3,2,3,3,18,N/A,2,TCHC,Building Audit,4156118,49,5,325  BLEECKER ST ,2,N/A,13,3,1969,2017
104,N/A,7,55,4,3,3,01/25/2019,2,4,4,2,4,3,4,4,4,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152782,66,4,3750  ST CLAIR AVE E,2,N/A,20,3,1965,2017
105,4,11,75,3,4,4,11/26/2019,4,4,4,4,N/A,4,4,4,3,4,17,N/A,2,PRIVATE,Evaluation needs to be conducted in 2 years,4153190,75,5,66  SPADINA RD ,3,N/A,11,4,1965,2018
106,4,23,193,4,4,5,11/26/2019,4,4,4,3,4,5,4,5,4,3,20,4,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153207,79,5,20  PRINCE ARTHUR AVE ,3,4,11,3,1968,2017
107,4,7,48,4,4,4,02/03/2019,3,4,3,4,N/A,5,4,4,3,3,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153210,73,5,151  ST GEORGE ST ,3,3,11,3,1952,2017
108,4,7,48,4,4,4,02/03/2019,3,4,4,4,N/A,5,4,4,3,4,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153211,79,5,153  ST GEORGE ST ,4,N/A,11,4,1962,2017
109,5,7,62,5,4,3,01/18/2019,4,4,4,4,N/A,5,3,4,4,4,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4153223,81,5,161  ST GEORGE ST ,4,4,11,4,1960,2017
110,4,4,20,4,4,3,12/04/2019,4,4,4,4,4,5,3,3,4,4,18,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153665,78,4,2363  QUEEN ST E,4,N/A,19,4,1940,2017
111,NA,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153675,70,NA,23  EDGEWOOD AVE ,NA,NA,19,NA,1959,2017
112,NA,4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,PRIVATE,Evaluation needs to be conducted in 2 years,4153684,72,NA,191  KENILWORTH AVE ,NA,NA,19,NA,1961,2017
113,N/A,4,43,N/A,5,5,10/30/2019,4,4,4,4,N/A,5,4,4,4,3,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154201,84,5,896  EGLINTON AVE E,4,N/A,15,5,1950,2017
114,4,4,37,N/A,4,4,10/30/2019,4,4,4,5,N/A,5,4,4,5,3,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 3 years,4154203,85,5,892  EGLINTON AVE E,4,5,15,5,1961,2017
115,5,5,27,3,4,4,12/14/2018,2,4,4,4,4,5,3,3,4,3,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154205,76,4,1903  BAYVIEW AVE ,4,4,15,4,1965,2017
